Opcode,Mnemonic,Addressing,Cycle,Symbolic Code,W2,W1,W0
00,BRK,Impl,0,IR := *PC,0000,100A,0010
00,BRK,Impl,1,*SP := PCH; SP -= 1,0000,2095,0010
00,BRK,Impl,2,*SP := PCL; SP -= 1,0000,2055,0010
00,BRK,Impl,3,*SP := P; SETF(B); SP -= 1,0008,2015,0010
00,BRK,Impl,4,DL := *fCPL,0000,000A,0010
00,BRK,Impl,5,ADL := DL,0038,0400,0000
00,BRK,Impl,6,DL := *fCPH,0000,000A,0010
00,BRK,Impl,7,"ADH := DL; PC := {ADH, ADL}; SETF(I); END",003A,0800,0402
01,ORA,"(ZP,X)",0,IR := *PC; PC += 1,0004,100A,0010
01,ORA,"(ZP,X)",1,DL := *PC; PC += 1,0004,100A,0010
01,ORA,"(ZP,X)",2,ADL := {calculate_zp_x_pointer}; DL := *{zeropage_indirect},0000,940A,0010
01,ORA,"(ZP,X)",3,TMP := DL; DL := *{zeropage_indirect_inc},0038,A00A,0090
01,ORA,"(ZP,X)",4,ADH := DL; ADL := TMP,0030,0C00,0000
01,ORA,"(ZP,X)",5,"DL := *{latch}; ORA(A, DL); A := ALU_RESULT; ALU_FLAGS_LD; END",FC38,300A,0012
03,SLO,"(ZP,X)",0,IR := *PC; PC += 1,0004,100A,0010
03,SLO,"(ZP,X)",1,DL := *PC; PC += 1,0004,100A,0010
03,SLO,"(ZP,X)",2,ADL := {calculate_zp_x_pointer}; DL := *{zeropage_indirect},0000,940A,0010
03,SLO,"(ZP,X)",3,TMP := DL; DL := *{zeropage_indirect_inc},0038,A00A,0090
03,SLO,"(ZP,X)",4,ADH := DL; ADL := TMP,0030,0C00,0000
03,SLO,"(ZP,X)",5,DL := *{latch}; TMP := *{latch},0000,300A,0090
03,SLO,"(ZP,X)",6,ASL(TMP); *{latch} := ALU_RESULT; DL := ALU_RESULT,7830,3005,0010
03,SLO,"(ZP,X)",7,"ORA(A, DL); A := ALU_RESULT; ALU_FLAGS_LD; END",FC38,0000,0002
05,ORA,ZP,0,IR := *PC; PC += 1,0004,100A,0010
05,ORA,ZP,1,DL := *PC; PC += 1,0004,100A,0010
05,ORA,ZP,2,ADL := DL,0038,0400,0000
